# Time           	massFlux         	Umin             	Umax             	Umean            	UstDev           	pmin             	pmax             	pmean            	pstDev           
242 7.872952969 99.93324348 151.0113431 139.131825 10.67249223 -27979.44771 -27979.44771 -27979.44771 3.637978807e-12
243 7.872976041 99.95324762 151.0077267 139.131258 10.6706863 -27980.12445 -27980.12445 -27980.12445 3.637978807e-12
244 7.872988104 99.97232579 151.0027028 139.1305649 10.66834589 -27981.02034 -27981.02034 -27981.02034 7.275957614e-12
245 7.873000846 99.98947 150.9960873 139.1297878 10.66539569 -27982.21434 -27982.21434 -27982.21434 1.091393642e-11
246 7.872998761 100.0036088 150.9877645 139.1286671 10.66155706 -27983.67536 -27983.67536 -27983.67536 3.637978807e-12
247 7.872976773 100.0143136 150.9776879 139.1268905 10.65680317 -27985.44451 -27985.44451 -27985.44451 1.455191523e-11
248 7.872927265 100.0211681 150.9656634 139.1247865 10.65116562 -27987.48161 -27987.48161 -27987.48161 1.455191523e-11
249 7.872864181 100.0238046 150.951753 139.1224974 10.64464408 -27989.81213 -27989.81213 -27989.81213 3.637978807e-12
250 7.872782791 100.0218744 150.9360786 139.1200908 10.63724698 -27992.36503 -27992.36503 -27992.36503 1.818989404e-11
251 7.872694213 100.0148847 150.9189216 139.1173957 10.62896194 -27995.22214 -27995.22214 -27995.22214 3.637978807e-12
252 7.872603654 100.0024751 150.9005252 139.1146648 10.61994379 -27998.38069 -27998.38069 -27998.38069 3.637978807e-12
253 7.872497537 99.98470656 150.8811326 139.112069 10.61023951 -28001.789 -28001.789 -28001.789 1.091393642e-11
254 7.872378231 99.96197405 150.8615596 139.1094499 10.60031457 -28005.38108 -28005.38108 -28005.38108 1.091393642e-11
255 7.872230187 99.93427289 150.8421382 139.1067886 10.59040445 -28009.07514 -28009.07514 -28009.07514 7.275957614e-12
256 7.872068653 99.90247165 150.8231976 139.1043185 10.58042006 -28012.82288 -28012.82288 -28012.82288 3.637978807e-12
257 7.871900263 99.86766375 150.8051228 139.1020809 10.57048304 -28016.5992 -28016.5992 -28016.5992 3.637978807e-12
258 7.871712603 99.83101798 150.7882264 139.1000541 10.56081628 -28020.38051 -28020.38051 -28020.38051 3.637978807e-12
259 7.871523268 99.79374139 150.7727077 139.0983816 10.55165163 -28024.1511 -28024.1511 -28024.1511 0
260 7.871332635 99.75701889 150.7591856 139.0973508 10.54300828 -28027.90956 -28027.90956 -28027.90956 1.455191523e-11
261 7.871141629 99.72189644 150.7479679 139.0953248 10.53516121 -28031.38245 -28031.38245 -28031.38245 3.637978807e-12
262 7.87103796 99.68862206 150.7396963 139.0941799 10.52864009 -28035.1486 -28035.1486 -28035.1486 3.637978807e-12
263 7.870932708 99.6575674 150.7356607 139.0937038 10.52342945 -28038.64646 -28038.64646 -28038.64646 7.275957614e-12
264 7.870913143 99.62918403 150.735658 139.0943232 10.51972933 -28042.10444 -28042.10444 -28042.10444 7.275957614e-12
265 7.870973094 99.60298671 150.7358592 139.0958427 10.51748542 -28045.85276 -28045.85276 -28045.85276 0
266 7.871049236 99.57916677 150.7382932 139.098195 10.51653089 -28049.28823 -28049.28823 -28049.28823 1.455191523e-11
267 7.871230131 99.55804459 150.7433762 139.10165 10.51714803 -28052.83685 -28052.83685 -28052.83685 7.275957614e-12
268 7.87146601 99.53951191 150.7508074 139.105737 10.51922112 -28056.27527 -28056.27527 -28056.27527 3.637978807e-12
269 7.871742254 99.52368336 150.7606445 139.1104983 10.52278976 -28059.5149 -28059.5149 -28059.5149 7.275957614e-12
270 7.872035357 99.51024001 150.7726535 139.1155798 10.52800445 -28062.56492 -28062.56492 -28062.56492 7.275957614e-12
271 7.872339856 99.49850052 150.7869442 139.121433 10.53460268 -28065.47449 -28065.47449 -28065.47449 1.091393642e-11
272 7.87265437 99.48791923 150.8036334 139.1279722 10.54262896 -28068.27526 -28068.27526 -28068.27526 0
273 7.873005203 99.47822825 150.8220908 139.1353871 10.55197027 -28070.98174 -28070.98174 -28070.98174 1.455191523e-11
274 7.873414094 99.46940518 150.8425736 139.1434926 10.56252886 -28073.67866 -28073.67866 -28073.67866 3.637978807e-12
275 7.87385734 99.4617669 150.8646226 139.1521341 10.57401132 -28076.29141 -28076.29141 -28076.29141 0
276 7.874321878 99.4561953 150.8880894 139.1613322 10.58631337 -28078.69896 -28078.69896 -28078.69896 3.637978807e-12
277 7.874815925 99.45316338 150.9129442 139.1709907 10.59923654 -28080.87032 -28080.87032 -28080.87032 2.182787284e-11
278 7.875322245 99.45279924 150.9394376 139.1802118 10.61252116 -28082.80113 -28082.80113 -28082.80113 7.275957614e-12
279 7.875837648 99.45511482 150.9672023 139.1895781 10.6261931 -28084.52938 -28084.52938 -28084.52938 7.275957614e-12
280 7.876364334 99.46009444 150.9960926 139.1984056 10.63961806 -28086.08561 -28086.08561 -28086.08561 2.546585165e-11
281 7.876890799 99.46780886 151.0257802 139.2067077 10.65302208 -28087.59685 -28087.59685 -28087.59685 1.091393642e-11
282 7.877431321 99.47849404 151.0583166 139.21564 10.66684972 -28088.95371 -28088.95371 -28088.95371 3.637978807e-12
283 7.877980813 99.49245222 151.0915549 139.2254429 10.68080602 -28090.10676 -28090.10676 -28090.10676 7.275957614e-12
284 7.878515517 99.50963733 151.125124 139.2347616 10.69544999 -28091.17994 -28091.17994 -28091.17994 3.637978807e-12
285 7.879017381 99.52966167 151.1585553 139.2435573 10.70999451 -28092.06243 -28092.06243 -28092.06243 1.091393642e-11
286 7.87948482 99.55223358 151.1918668 139.2515954 10.72404239 -28092.8396 -28092.8396 -28092.8396 3.637978807e-12
287 7.879948557 99.57692772 151.2246116 139.2595558 10.73749057 -28093.55321 -28093.55321 -28093.55321 1.455191523e-11
288 7.88038065 99.60324806 151.2567796 139.2662628 10.75073647 -28094.18847 -28094.18847 -28094.18847 7.275957614e-12
289 7.88079122 99.63051081 151.2879736 139.2730025 10.76389036 -28094.76624 -28094.76624 -28094.76624 1.455191523e-11
290 7.8811939 99.65769817 151.3171563 139.2798093 10.77665297 -28095.3049 -28095.3049 -28095.3049 1.455191523e-11
291 7.88156423 99.68388576 151.344565 139.2862436 10.78906029 -28095.75066 -28095.75066 -28095.75066 7.275957614e-12
292 7.88191565 99.70819004 151.3704618 139.2922512 10.80128495 -28096.12184 -28096.12184 -28096.12184 1.455191523e-11
293 7.882239381 99.72928803 151.3943077 139.2978824 10.81323115 -28096.38217 -28096.38217 -28096.38217 1.818989404e-11
294 7.882499116 99.74570927 151.4154268 139.302272 10.82499163 -28096.52883 -28096.52883 -28096.52883 3.637978807e-12
295 7.882728691 99.756408 151.4345373 139.305022 10.83618993 -28096.59813 -28096.59813 -28096.59813 2.182787284e-11
296 7.882951499 99.76088748 151.4506486 139.3063792 10.84660942 -28096.59192 -28096.59192 -28096.59192 7.275957614e-12
297 7.883165144 99.75958135 151.4642908 139.3074662 10.8572473 -28096.48555 -28096.48555 -28096.48555 3.637978807e-12
298 7.883372265 99.75388844 151.4760375 139.308387 10.86788835 -28096.24583 -28096.24583 -28096.24583 0
299 7.883524969 99.74592087 151.4860328 139.3090357 10.87858583 -28095.91264 -28095.91264 -28095.91264 7.275957614e-12
300 7.883622769 99.73771816 151.4942928 139.3092826 10.88906481 -28095.42691 -28095.42691 -28095.42691 1.091393642e-11
301 7.883721662 99.73022481 151.5010642 139.3093929 10.89888582 -28094.8561 -28094.8561 -28094.8561 1.091393642e-11
302 7.883834768 99.72358343 151.5030922 139.3092856 10.90790308 -28094.23971 -28094.23971 -28094.23971 3.637978807e-12
303 7.883940406 99.71776266 151.5040941 139.308496 10.91566523 -28093.53062 -28093.53062 -28093.53062 1.455191523e-11
304 7.884040757 99.71305413 151.5052334 139.3093668 10.9229991 -28092.71976 -28092.71976 -28092.71976 3.637978807e-12
305 7.88412728 99.71001627 151.506441 139.3086896 10.9295943 -28091.74873 -28091.74873 -28091.74873 1.818989404e-11
306 7.884206019 99.70899484 151.5075 139.3082089 10.93572166 -28090.6159 -28090.6159 -28090.6159 3.637978807e-12
307 7.884261323 99.70991137 151.5085047 139.3077369 10.94131969 -28089.30271 -28089.30271 -28089.30271 1.091393642e-11
308 7.884302951 99.71253859 151.5096378 139.3073083 10.94636715 -28087.86275 -28087.86275 -28087.86275 7.275957614e-12
309 7.884330168 99.7166911 151.5105702 139.3068182 10.95077929 -28086.31639 -28086.31639 -28086.31639 3.637978807e-12
310 7.884360285 99.72219342 151.5113506 139.3060858 10.95524746 -28084.84654 -28084.84654 -28084.84654 0
311 7.884375456 99.72909865 151.5117895 139.3052993 10.95911852 -28083.24993 -28083.24993 -28083.24993 0
312 7.884395689 99.73739456 151.5121358 139.3046114 10.96229206 -28081.6879 -28081.6879 -28081.6879 3.637978807e-12
313 7.884406099 99.74687138 151.5122156 139.3039536 10.96460021 -28080.116 -28080.116 -28080.116 1.455191523e-11
314 7.884401602 99.75748949 151.5120474 139.3032919 10.9660649 -28078.42514 -28078.42514 -28078.42514 2.182787284e-11
315 7.884417039 99.7689102 151.5117826 139.302686 10.9667509 -28076.8427 -28076.8427 -28076.8427 7.275957614e-12
316 7.884415496 99.78081965 151.5111917 139.3019407 10.96658017 -28075.17396 -28075.17396 -28075.17396 0
317 7.884440166 99.79286475 151.5105641 139.3012522 10.96563141 -28073.66123 -28073.66123 -28073.66123 7.275957614e-12
318 7.884448676 99.80469773 151.5096359 139.3003542 10.96384122 -28072.08162 -28072.08162 -28072.08162 7.275957614e-12
319 7.884474693 99.81598213 151.5086994 139.2995415 10.96130812 -28070.66332 -28070.66332 -28070.66332 1.091393642e-11
320 7.884470713 99.82636388 151.503791 139.2984489 10.9578102 -28069.19574 -28069.19574 -28069.19574 3.637978807e-12
321 7.88445729 99.83561866 151.4947973 139.2971498 10.95344098 -28067.75187 -28067.75187 -28067.75187 1.091393642e-11
322 7.884423137 99.84328153 151.4853273 139.2953872 10.94847789 -28066.339 -28066.339 -28066.339 3.637978807e-12
323 7.884367531 99.84906004 151.4751579 139.2935403 10.94282248 -28065.00606 -28065.00606 -28065.00606 3.637978807e-12
324 7.884288476 99.85291212 151.4642447 139.291584 10.93644581 -28063.76286 -28063.76286 -28063.76286 2.182787284e-11
325 7.884188241 99.85489398 151.4527685 139.2890971 10.92941764 -28062.61453 -28062.61453 -28062.61453 1.455191523e-11
326 7.884080951 99.85513996 151.4408549 139.2864718 10.92221216 -28061.55813 -28061.55813 -28061.55813 7.275957614e-12
327 7.883965221 99.85387868 151.4286815 139.2838513 10.91469651 -28060.57753 -28060.57753 -28060.57753 3.637978807e-12
328 7.883827287 99.8513481 151.4163555 139.2812886 10.90700048 -28059.61319 -28059.61319 -28059.61319 7.275957614e-12
329 7.883683862 99.84766348 151.403998 139.2786276 10.89980653 -28058.66756 -28058.66756 -28058.66756 3.637978807e-12
330 7.883535687 99.84283273 151.39211 139.2761455 10.89252547 -28057.73695 -28057.73695 -28057.73695 0
331 7.883367712 99.83687022 151.3807642 139.2738206 10.8852428 -28056.81343 -28056.81343 -28056.81343 3.637978807e-12
332 7.883188399 99.82984314 151.3695797 139.2716962 10.87805821 -28055.89012 -28055.89012 -28055.89012 3.637978807e-12
333 7.882992523 99.82191017 151.3587843 139.2693824 10.87162126 -28054.95705 -28054.95705 -28054.95705 7.275957614e-12
334 7.882779945 99.81329988 151.3485604 139.2669833 10.86592816 -28054.00673 -28054.00673 -28054.00673 0
335 7.882557975 99.80430607 151.3390955 139.2647162 10.86060759 -28053.03464 -28053.03464 -28053.03464 3.637978807e-12
336 7.882323397 99.79529281 151.3305526 139.2625665 10.85578465 -28051.99917 -28051.99917 -28051.99917 3.637978807e-12
337 7.882087738 99.78659223 151.3232273 139.2605991 10.85155987 -28050.94442 -28050.94442 -28050.94442 7.275957614e-12
338 7.881861578 99.77846728 151.3173002 139.2588329 10.84796504 -28049.9237 -28049.9237 -28049.9237 3.637978807e-12
339 7.881640689 99.77129668 151.3128634 139.2571101 10.84531857 -28048.91814 -28048.91814 -28048.91814 3.637978807e-12
340 7.88141831 99.76554318 151.310079 139.2551172 10.84351098 -28047.91685 -28047.91685 -28047.91685 3.637978807e-12
341 7.88121077 99.76157889 151.3088473 139.2533671 10.84242615 -28046.91488 -28046.91488 -28046.91488 7.275957614e-12
342 7.881025987 99.75961486 151.3093412 139.2499867 10.84174045 -28045.8998 -28045.8998 -28045.8998 0
343 7.880875829 99.75975804 151.3109935 139.249049 10.84203837 -28044.86419 -28044.86419 -28044.86419 7.275957614e-12
344 7.880754878 99.76203567 151.3139311 139.2483038 10.84280737 -28043.78586 -28043.78586 -28043.78586 0
345 7.880665522 99.76631873 151.3176528 139.247743 10.84398529 -28042.66014 -28042.66014 -28042.66014 3.637978807e-12
346 7.880602572 99.77235315 151.3218208 139.2473107 10.84546133 -28041.48951 -28041.48951 -28041.48951 1.455191523e-11
347 7.880554013 99.77982457 151.3260581 139.2469023 10.8471537 -28040.2881 -28040.2881 -28040.2881 3.637978807e-12
348 7.880516163 99.78838976 151.3300372 139.24645 10.84896848 -28039.07629 -28039.07629 -28039.07629 3.637978807e-12
349 7.880486611 99.79767709 151.3334714 139.2459088 10.85079382 -28037.88535 -28037.88535 -28037.88535 7.275957614e-12
350 7.880456906 99.80729617 151.3362018 139.2450557 10.85229666 -28036.73028 -28036.73028 -28036.73028 3.637978807e-12
351 7.880429075 99.81686725 151.3379426 139.2441437 10.85368584 -28035.62927 -28035.62927 -28035.62927 3.637978807e-12
352 7.880403024 99.82604747 151.338814 139.2431993 10.8549166 -28034.59893 -28034.59893 -28034.59893 7.275957614e-12
353 7.880375145 99.83452494 151.3386557 139.2421991 10.85593323 -28033.65267 -28033.65267 -28033.65267 3.637978807e-12
354 7.880341365 99.84204125 151.3375188 139.2411406 10.85671992 -28032.8004 -28032.8004 -28032.8004 1.091393642e-11
355 7.88029494 99.84845518 151.3354827 139.2400078 10.85727688 -28031.97492 -28031.97492 -28031.97492 1.455191523e-11
356 7.880250485 99.8535581 151.3327813 139.2388478 10.85774577 -28031.28367 -28031.28367 -28031.28367 7.275957614e-12
357 7.880206819 99.85711491 151.329515 139.2377025 10.85804669 -28030.75755 -28030.75755 -28030.75755 1.455191523e-11
358 7.880159706 99.85915617 151.3258444 139.2366054 10.85816149 -28030.33024 -28030.33024 -28030.33024 7.275957614e-12
359 7.880126324 99.85976122 151.3220466 139.2356537 10.85813616 -28030.07416 -28030.07416 -28030.07416 1.455191523e-11
360 7.880104816 99.85899151 151.3182467 139.2348872 10.857978 -28029.99427 -28029.99427 -28029.99427 0
361 7.880092108 99.85705062 151.314544 139.2343321 10.85771599 -28030.07361 -28030.07361 -28030.07361 3.637978807e-12
362 7.880080189 99.85425078 151.3110963 139.235174 10.85748677 -28030.27287 -28030.27287 -28030.27287 1.091393642e-11
363 7.880069058 99.85088936 151.3082401 139.235252 10.85703974 -28030.57472 -28030.57472 -28030.57472 0
364 7.880064497 99.84718092 151.3059815 139.234968 10.856652 -28030.94956 -28030.94956 -28030.94956 7.275957614e-12
365 7.880065794 99.84330519 151.3044355 139.2348993 10.85647464 -28031.39296 -28031.39296 -28031.39296 0
366 7.88007246 99.83943138 151.3037326 139.2350203 10.85656193 -28031.90262 -28031.90262 -28031.90262 3.637978807e-12
367 7.880082386 99.83574943 151.3039443 139.2353262 10.85696817 -28032.45251 -28032.45251 -28032.45251 3.637978807e-12
368 7.880097369 99.83244121 151.305148 139.2358263 10.85773951 -28033.03684 -28033.03684 -28033.03684 2.182787284e-11
369 7.880118062 99.82964499 151.3074018 139.2365181 10.8589086 -28033.64498 -28033.64498 -28033.64498 3.637978807e-12
370 7.880145587 99.82746603 151.3107121 139.2374007 10.86049319 -28034.26858 -28034.26858 -28034.26858 1.455191523e-11
371 7.880180815 99.82597667 151.3150507 139.2384625 10.86249566 -28034.90031 -28034.90031 -28034.90031 1.455191523e-11
372 7.880224947 99.82522764 151.3203505 139.2396927 10.86489797 -28035.51631 -28035.51631 -28035.51631 7.275957614e-12
373 7.880285037 99.82519141 151.3265515 139.2409261 10.86764599 -28036.13496 -28036.13496 -28036.13496 0
374 7.880359004 99.82578224 151.3335535 139.2414015 10.87059359 -28036.75091 -28036.75091 -28036.75091 7.275957614e-12
375 7.880430215 99.82699151 151.3409802 139.2425178 10.87394113 -28037.2367 -28037.2367 -28037.2367 0
376 7.880526982 99.82861699 151.3489245 139.2444325 10.87765483 -28037.74749 -28037.74749 -28037.74749 3.637978807e-12
377 7.880631418 99.83033379 151.357072 139.2463084 10.88140119 -28038.26593 -28038.26593 -28038.26593 3.637978807e-12
378 7.880735866 99.83203094 151.3653013 139.2480621 10.88504726 -28038.74513 -28038.74513 -28038.74513 1.818989404e-11
379 7.880837979 99.83364482 151.3734503 139.2497021 10.88863444 -28039.17903 -28039.17903 -28039.17903 3.637978807e-12
380 7.880931701 99.83508166 151.3811386 139.2525807 10.89234919 -28039.56979 -28039.56979 -28039.56979 3.637978807e-12
381 7.881022045 99.83618152 151.3884295 139.2543835 10.89580718 -28039.9282 -28039.9282 -28039.9282 1.455191523e-11
382 7.881118205 99.83660041 151.3951734 139.2556193 10.89913296 -28040.30115 -28040.30115 -28040.30115 2.182787284e-11
383 7.881211813 99.83624632 151.4013085 139.2567873 10.9023284 -28040.66227 -28040.66227 -28040.66227 7.275957614e-12
384 7.881305548 99.83520518 151.406886 139.2578941 10.90535244 -28041.03693 -28041.03693 -28041.03693 2.182787284e-11
385 7.881394176 99.83360772 151.4118978 139.2589343 10.90817331 -28041.42246 -28041.42246 -28041.42246 1.091393642e-11
386 7.881478989 99.83163428 151.4163723 139.2599316 10.91078059 -28041.82103 -28041.82103 -28041.82103 1.091393642e-11
387 7.881558806 99.8294723 151.4203675 139.2608799 10.91315746 -28042.23405 -28042.23405 -28042.23405 3.637978807e-12
388 7.881634272 99.82730216 151.4239109 139.2617771 10.91529584 -28042.66071 -28042.66071 -28042.66071 1.818989404e-11
389 7.881706508 99.82528319 151.4270932 139.2626222 10.91720943 -28043.09585 -28043.09585 -28043.09585 3.637978807e-12
390 7.881779813 99.8235479 151.4299986 139.2634429 10.91891608 -28043.5567 -28043.5567 -28043.5567 7.275957614e-12
391 7.881849855 99.82224148 151.4326052 139.2642112 10.92040116 -28044.02772 -28044.02772 -28044.02772 7.275957614e-12
392 7.881916698 99.82152369 151.434942 139.26496 10.92166514 -28044.50101 -28044.50101 -28044.50101 3.637978807e-12
393 7.881981365 99.82151113 151.4370169 139.2656859 10.922716 -28044.9775 -28044.9775 -28044.9775 0
394 7.882045153 99.82225514 151.4388248 139.2663893 10.92355956 -28045.46573 -28045.46573 -28045.46573 3.637978807e-12
395 7.882109774 99.82375778 151.4403567 139.2670754 10.92419718 -28045.98534 -28045.98534 -28045.98534 3.637978807e-12
396 7.88217647 99.82598749 151.4416015 139.2677546 10.92462636 -28046.55793 -28046.55793 -28046.55793 7.275957614e-12
397 7.882242794 99.82891056 151.4425371 139.2684189 10.9248521 -28047.18427 -28047.18427 -28047.18427 3.637978807e-12
398 7.88230505 99.83250145 151.4431408 139.2690573 10.92488028 -28047.84466 -28047.84466 -28047.84466 7.275957614e-12
399 7.88235788 99.83671277 151.4433961 139.2696457 10.92472061 -28048.50324 -28048.50324 -28048.50324 1.455191523e-11
400 7.882404407 99.84141676 151.4432955 139.2701609 10.92440542 -28049.15384 -28049.15384 -28049.15384 2.182787284e-11
401 7.882442894 99.84638869 151.4428409 139.2705842 10.92394493 -28049.79001 -28049.79001 -28049.79001 1.091393642e-11
402 7.88246366 99.85138938 151.4420093 139.2709061 10.92335271 -28050.36017 -28050.36017 -28050.36017 7.275957614e-12
403 7.882472693 99.85631401 151.4408531 139.2711332 10.92264185 -28050.85194 -28050.85194 -28050.85194 3.637978807e-12
404 7.882470193 99.86102236 151.4393927 139.2712478 10.92182435 -28051.24685 -28051.24685 -28051.24685 7.275957614e-12
405 7.882456772 99.86539803 151.4376674 139.2712493 10.92091348 -28051.52897 -28051.52897 -28051.52897 7.275957614e-12
406 7.882433486 99.86937621 151.4357221 139.2711406 10.91990984 -28051.68131 -28051.68131 -28051.68131 7.275957614e-12
407 7.88240369 99.87294725 151.4336199 139.2709399 10.9188142 -28051.70186 -28051.70186 -28051.70186 2.182787284e-11
408 7.882369379 99.87615086 151.4313718 139.2706551 10.91760868 -28051.5883 -28051.5883 -28051.5883 1.818989404e-11
409 7.882333554 99.87907874 151.4290432 139.2702886 10.9162757 -28051.35995 -28051.35995 -28051.35995 1.091393642e-11
410 7.88229549 99.88192669 151.4266758 139.2698496 10.91479355 -28050.98147 -28050.98147 -28050.98147 1.091393642e-11
411 7.882260454 99.88495165 151.424277 139.2693547 10.91313673 -28050.48245 -28050.48245 -28050.48245 7.275957614e-12
412 7.882221106 99.88844071 151.4217697 139.2687573 10.91126726 -28049.81655 -28049.81655 -28049.81655 7.275957614e-12
413 7.882181401 99.89251566 151.4191316 139.2680619 10.90917576 -28048.99722 -28048.99722 -28048.99722 3.637978807e-12
414 7.882139039 99.8972916 151.4162502 139.267239 10.9068281 -28048.02605 -28048.02605 -28048.02605 0
415 7.882094649 99.9029049 151.4130211 139.2662613 10.90418353 -28046.92669 -28046.92669 -28046.92669 1.091393642e-11
416 7.882041683 99.90942209 151.4092443 139.2650794 10.90119698 -28045.68169 -28045.68169 -28045.68169 0
417 7.881979222 99.91681042 151.4047384 139.2636677 10.89783703 -28044.30029 -28044.30029 -28044.30029 3.637978807e-12
418 7.881905088 99.92486634 151.3992913 139.2619915 10.89407015 -28042.79443 -28042.79443 -28042.79443 3.637978807e-12
419 7.881818813 99.93322845 151.392707 139.260046 10.88989156 -28041.19227 -28041.19227 -28041.19227 7.275957614e-12
420 7.881715254 99.94143742 151.3848075 139.2578314 10.88523717 -28039.51457 -28039.51457 -28039.51457 7.275957614e-12
421 7.881591087 99.94900533 151.3753974 139.2553338 10.88007099 -28037.78219 -28037.78219 -28037.78219 1.091393642e-11
422 7.881447655 99.95544658 151.364323 139.2525774 10.87438477 -28036.01688 -28036.01688 -28036.01688 1.091393642e-11
423 7.881275405 99.96027445 151.3516276 139.249453 10.86812755 -28034.24496 -28034.24496 -28034.24496 3.637978807e-12
424 7.881082052 99.96301045 151.3373808 139.2459755 10.86129148 -28032.50876 -28032.50876 -28032.50876 3.637978807e-12
425 7.88087468 99.96329725 151.3217137 139.2423442 10.85402717 -28030.84786 -28030.84786 -28030.84786 3.637978807e-12
426 7.880647136 99.9609774 151.3048582 139.2386362 10.84633788 -28029.28784 -28029.28784 -28029.28784 7.275957614e-12
427 7.880407232 99.95603717 151.2870792 139.2348588 10.83829888 -28027.85531 -28027.85531 -28027.85531 3.637978807e-12
428 7.88015924 99.94860562 151.2688681 139.2312479 10.83003029 -28026.56292 -28026.56292 -28026.56292 1.091393642e-11
429 7.879925376 99.93886101 151.2508437 139.2278237 10.82176039 -28025.50472 -28025.50472 -28025.50472 1.455191523e-11
430 7.879682785 99.92694055 151.2331045 139.2244993 10.81351738 -28024.56621 -28024.56621 -28024.56621 1.818989404e-11
431 7.879415102 99.9135863 151.2161582 139.2206573 10.80568883 -28023.64054 -28023.64054 -28023.64054 7.275957614e-12
432 7.879141774 99.89931009 151.200334 139.2164949 10.79789498 -28022.79472 -28022.79472 -28022.79472 3.637978807e-12
433 7.878874348 99.88448317 151.1857542 139.2127148 10.79047299 -28022.04234 -28022.04234 -28022.04234 1.091393642e-11
434 7.878613601 99.86950454 151.1726037 139.209173 10.78331537 -28021.39603 -28021.39603 -28021.39603 3.637978807e-12
435 7.878361723 99.85464173 151.1609878 139.205193 10.77572914 -28020.91776 -28020.91776 -28020.91776 2.182787284e-11
