# Time                 	totalLift              	frontLift              	rearLift               	drag                   	side                   	Xmoment                	Ymoment                	Zmoment                
0.0011	2.4718213746193818e-01	2.7613657741988085e-01	-2.8954439957942640e-02	3.0315964179267063e-01	1.0547806485545703e-04	-1.2044365354088219e-05	1.5254550868891173e-01	6.1957333111578622e-07
0.0012	2.5583176213286046e-01	2.8309581327913969e-01	-2.7264051146279195e-02	3.0882594995841456e-01	7.5869377569800527e-05	-3.3687661251624563e-06	1.5517993221270943e-01	1.2691500995222858e-05
0.0013	2.6587444387027037e-01	2.9146151871156745e-01	-2.5587074841297075e-02	3.1223328369610942e-01	6.9748837734346137e-05	-4.7878000782054917e-06	1.5852429677643226e-01	1.0986164565421162e-05
0.0014	2.7200652010235615e-01	2.9646350352628437e-01	-2.4456983423928241e-02	3.1526935984737875e-01	1.1484097265897107e-04	-1.1010553404975270e-05	1.6046024347510632e-01	-6.2995160922671482e-06
0.0015	2.7560617649211705e-01	2.9948779448584906e-01	-2.3881617993732007e-02	3.1851291710361346e-01	1.1704977636974411e-04	-9.0839657038805479e-06	1.6168470623979053e-01	1.9235848298620568e-06
0.0016	2.8098003151927392e-01	3.0366280171604465e-01	-2.2682770196770730e-02	3.2111379710220561e-01	1.3798439669448630e-04	-1.1961452269988848e-05	1.6317278595640769e-01	-5.1900196592642520e-06
0.0017	2.8644789015605149e-01	3.0825521257761035e-01	-2.1807322421558889e-02	3.2385084687705568e-01	1.9772081500118532e-04	-2.1808688451808066e-05	1.6503126749958463e-01	-2.5346969722955941e-05
0.0018	2.9084143952443892e-01	3.1154812149514555e-01	-2.0706681970706603e-02	3.2643686205437644e-01	1.5771096374608999e-04	-1.6658696860257852e-05	1.6612740173292606e-01	-9.1382609463644933e-06
0.0019	2.9659283567642331e-01	3.1584442988027939e-01	-1.9251594203856109e-02	3.2788779320863254e-01	1.6779413840054856e-04	-2.1625671308433230e-05	1.6754801204206776e-01	-2.4508466806345782e-05
0.002	3.0137064419644982e-01	3.1994251099699045e-01	-1.8571866800540654e-02	3.3054577169049632e-01	1.7405301686978643e-04	-2.2566758541580555e-05	1.6925718889876556e-01	-3.5043958618447314e-05
