# Time	Umin	Umin location	Umax	Umax location	Umean	UstDev	pmin	pmin location	pmax	pmax location	pmean	pstDev
38	0.0001302024472	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.94251341	( 1.98 0.09722222222 0 )	1.172154365	1.591918712	0.2751371209	( 1.98 0.09166666667 0 )	490.4995067	( -1.94 -0.0962962963 0 )	242.9761086	222.950608
39	0.0001301644202	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.901114592	( 1.98 0.09722222222 0 )	1.178976359	1.590593589	0.2763844045	( 1.98 0.09166666667 0 )	490.4730125	( -1.94 -0.0962962963 0 )	242.9145765	222.9875787
40	0.0001301356397	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.866014855	( 1.98 0.09722222222 0 )	1.185821358	1.589690883	0.277878416	( 1.98 0.09166666667 0 )	490.4649298	( -1.94 -0.0962962963 0 )	242.8644335	223.0305313
41	0.0001301411172	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.837156085	( 1.98 0.09722222222 0 )	1.192646165	1.58919664	0.2792406746	( 1.98 0.09166666667 0 )	490.4837821	( -1.94 -0.0962962963 0 )	242.8280403	223.0820081
42	0.0001300998028	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.814432997	( 1.98 0.09722222222 0 )	1.199410649	1.589060665	0.2802058195	( 1.98 0.09166666667 0 )	490.513363	( -1.94 -0.0962962963 0 )	242.7967231	223.1364426
43	0.0001301164117	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.797691008	( 1.98 0.09722222222 0 )	1.206078289	1.5892164	0.2808511677	( 1.98 0.09166666667 0 )	490.544129	( -1.94 -0.0962962963 0 )	242.7693082	223.1888654
44	0.0001301581733	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.786707387	( 1.98 0.09722222222 0 )	1.212612985	1.589567002	0.2813356478	( 1.98 0.09166666667 0 )	490.5739193	( -1.94 -0.0962962963 0 )	242.7462209	223.23816
45	0.0001302157421	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.781182106	( 1.98 0.09722222222 0 )	1.218985679	1.589985615	0.2818287829	( 1.98 0.09166666667 0 )	490.6061414	( -1.94 -0.0962962963 0 )	242.7316758	223.2852016
46	0.0001301360487	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.780695737	( 1.98 0.09722222222 0 )	1.225214985	1.590384202	0.2825647926	( 1.98 0.09166666667 0 )	490.635667	( -1.94 -0.0962962963 0 )	242.7197168	223.3271369
47	0.0001300485733	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.784727866	( 1.98 0.09722222222 0 )	1.231336518	1.590688342	0.283722502	( 1.98 0.09166666667 0 )	490.6773819	( -1.94 -0.0962962963 0 )	242.7174886	223.3674861
48	0.0001299917171	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.792639893	( 1.98 0.09722222222 0 )	1.237406286	1.590786171	0.2853243626	( 1.98 0.09166666667 0 )	490.7511513	( -1.94 -0.0962962963 0 )	242.7381533	223.4130256
49	0.0001299646785	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.803686573	( 1.98 0.09722222222 0 )	1.243477162	1.590569167	0.2871350692	( 1.98 0.09166666667 0 )	490.8346971	( -1.94 -0.0962962963 0 )	242.7705045	223.4570992
50	0.0001299580788	( -1.98 -2.168404345e-19 -6.505213035e-19 )	8.817055911	( 1.98 0.09722222222 0 )	1.249627996	1.58989993	0.28894315	( 1.98 0.09166666667 0 )	490.9246471	( -1.94 -0.0962962963 0 )	242.8143783	223.4986023
