# Time           	massFlux         	Umin             	Umax             	Umean            	UstDev           	pmin             	pmax             	pmean            	pstDev           
34 165.0275504 0.0003039257917 7.7752384 5.958417456 1.729258024 -3670.782103 2496.913454 -794.5874893 1655.219748
35 165.0225671 3.985263305e-06 7.802809835 5.992788679 1.744238158 -3439.649153 2374.59407 -756.1249634 1547.066382
36 165.0164892 0.000371806855 7.84094979 6.024615872 1.766935 -3210.784806 2260.934283 -718.9874752 1443.687057
37 165.0107192 0.0240295086 7.886763674 6.055660705 1.791460316 -2984.755031 2155.150742 -682.0626488 1343.96472
38 165.0068652 0.1030856628 7.935815227 6.086441683 1.814123431 -2762.046575 2042.361026 -644.5163098 1247.221066
39 165.0051215 0.1606025207 7.984581491 6.115722538 1.834340017 -2543.396845 1921.590163 -605.9009188 1153.252712
40 165.0056521 0.1864378961 8.030204527 6.142564598 1.851997231 -2330.735391 1800.600804 -566.3353949 1062.315472
41 165.0069746 0.07422493652 8.069938256 6.166809698 1.8664385 -2130.6868 1687.885022 -526.0712973 974.4681313
42 165.0076043 0.005818404804 8.102122131 6.188371145 1.877852519 -1939.947179 1585.843371 -485.4104917 889.8413988
43 165.0077089 0.02070237241 8.126003636 6.207731329 1.88641686 -1757.672451 1495.806173 -444.6867066 808.6951019
44 165.0064529 0.03015728927 8.142194248 6.225020876 1.893257405 -1583.928003 1414.292199 -404.2776729 731.4074128
45 165.0049179 0.07413547485 8.152859503 6.241130145 1.898460687 -1430.196021 1342.837261 -364.5997884 658.6367166
46 165.0026776 0.0005235093681 8.160465773 6.256016393 1.903120177 -1287.789013 1278.947507 -326.0942786 591.2495678
47 165.0019245 0.001761208628 8.16695147 6.269744732 1.907816906 -1155.762818 1222.754892 -289.2595518 530.177151
48 165.0036878 0.0003214176611 8.175151278 6.282019017 1.912887952 -1033.054298 1173.910828 -254.6100173 476.2103654
49 165.0083382 0.002552517998 8.186062721 6.292404565 1.918475476 -920.251382 1131.683608 -222.6673171 429.8189279
50 165.0133607 0.008366636629 8.195968346 6.299789639 1.925014511 -817.9381042 1099.814998 -193.9107416 391.0436505
