# Wall heat-flux 
# Time           	patch            	min              	max              	integral         
4.5000000000e+01	pad1_to_default	1.3097354446e+04	5.1917778938e+04	5.8259718705e+02
4.5000000000e+01	pad1_to_disk	5.1691982871e+04	7.6645477400e+04	9.1790947293e+02
4.6000000000e+01	pad1_to_default	1.2971133579e+04	5.1786392199e+04	5.8339781741e+02
4.6000000000e+01	pad1_to_disk	5.1610056770e+04	7.6783929808e+04	9.1708691428e+02
4.7000000000e+01	pad1_to_default	1.2800739429e+04	5.1668027119e+04	5.8416045864e+02
4.7000000000e+01	pad1_to_disk	5.1543498122e+04	7.6872862829e+04	9.1628523305e+02
4.8000000000e+01	pad1_to_default	1.2588513385e+04	5.1568030538e+04	5.8485838400e+02
4.8000000000e+01	pad1_to_disk	5.1493959953e+04	7.6923215744e+04	9.1554047016e+02
4.9000000000e+01	pad1_to_default	1.2367051996e+04	5.1480335405e+04	5.8547705815e+02
4.9000000000e+01	pad1_to_disk	5.1462056444e+04	7.6939219381e+04	9.1487507427e+02
5.0000000000e+01	pad1_to_default	1.2200772204e+04	5.1413363991e+04	5.8599480906e+02
5.0000000000e+01	pad1_to_disk	5.1442908341e+04	7.6932054146e+04	9.1429906188e+02
